SLURM_JOB_ID = 14272968
SLURM JOBID: 14272968
SLURM JOBID: 14272968
== jobstats: running vmstat in background to monitor cpu usage and memory stats
== jobstats: running vmstat in background to monitor cpu usage and memory stats
Number of nodes of list (body:0) 1049 
Number of element of list(body:0) 1984 
Number of ghost nodes 112
Number of nodes of list (body:1) 1049 
Number of element of list(body:1) 1984 
Number of ghost nodes 112
Number of nodes of list (body:2) 1049 
Number of element of list(body:2) 1984 
Number of ghost nodes 112
Fung learning rate file successfully has being read
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Epoch 10223, Average Loss: 0.0000002999, body: 0, theta: -0.802180
Epoch 10224, Average Loss: 0.0000003000, body: 0, theta: -0.801120
Epoch 10225, Average Loss: 0.0000003002, body: 0, theta: -0.800153
Epoch 10226, Average Loss: 0.0000003004, body: 0, theta: -0.799798
Epoch 10227, Average Loss: 0.0000003006, body: 0, theta: -0.799976
Epoch 10228, Average Loss: 0.0000003006, body: 0, theta: -0.800151
Epoch 10229, Average Loss: 0.0000003007, body: 0, theta: -0.799859
Epoch 10230, Average Loss: 0.0000003008, body: 0, theta: -0.799113
Epoch 10231, Average Loss: 0.0000003009, body: 0, theta: -0.798343
Epoch 10232, Average Loss: 0.0000003010, body: 0, theta: -0.797967
Epoch 10233, Average Loss: 0.0000003010, body: 0, theta: -0.798013
Epoch 10234, Average Loss: 0.0000003011, body: 0, theta: -0.798142
Epoch 10235, Average Loss: 0.0000003011, body: 0, theta: -0.798018
Epoch 10236, Average Loss: 0.0000003010, body: 0, theta: -0.797633
Epoch 10237, Average Loss: 0.0000003009, body: 0, theta: -0.797270
Epoch 10238, Average Loss: 0.0000003008, body: 0, theta: -0.797188
Epoch 10239, Average Loss: 0.0000003008, body: 0, theta: -0.797367
Epoch 10240, Average Loss: 0.0000003007, body: 0, theta: -0.797561
Epoch 10241, Average Loss: 0.0000003006, body: 0, theta: -0.797553
Epoch 10242, Average Loss: 0.0000003005, body: 0, theta: -0.797357
Epoch 10243, Average Loss: 0.0000003005, body: 0, theta: -0.797181
Epoch 10244, Average Loss: 0.0000003004, body: 0, theta: -0.797210
Epoch 10245, Average Loss: 0.0000003004, body: 0, theta: -0.797420
Epoch 10246, Average Loss: 0.0000003003, body: 0, theta: -0.797610
Epoch 10247, Average Loss: 0.0000003003, body: 0, theta: -0.797610
Epoch 10248, Average Loss: 0.0000003003, body: 0, theta: -0.797449
Epoch 10249, Average Loss: 0.0000003003, body: 0, theta: -0.797319
Epoch 10250, Average Loss: 0.0000003003, body: 0, theta: -0.797377
Epoch 10251, Average Loss: 0.0000003004, body: 0, theta: -0.797598
Epoch 10252, Average Loss: 0.0000003004, body: 0, theta: -0.797821
Epoch 10253, Average Loss: 0.0000003004, body: 0, theta: -0.797911
Epoch 10254, Average Loss: 0.0000003004, body: 0, theta: -0.797877
Epoch 10255, Average Loss: 0.0000003004, body: 0, theta: -0.797840
Epoch 10256, Average Loss: 0.0000003005, body: 0, theta: -0.797913
Epoch 10257, Average Loss: 0.0000003005, body: 0, theta: -0.798092
Epoch 10258, Average Loss: 0.0000003006, body: 0, theta: -0.798273
Epoch 10259, Average Loss: 0.0000003006, body: 0, theta: -0.798358
Epoch 10260, Average Loss: 0.0000003006, body: 0, theta: -0.798345
Epoch 10261, Average Loss: 0.0000003006, body: 0, theta: -0.798324
Epoch 10262, Average Loss: 0.0000003006, body: 0, theta: -0.798371
Epoch 10263, Average Loss: 0.0000003006, body: 0, theta: -0.798480
Epoch 10264, Average Loss: 0.0000003006, body: 0, theta: -0.798579
Epoch 10265, Average Loss: 0.0000003006, body: 0, theta: -0.798612
Epoch 10266, Average Loss: 0.0000003006, body: 0, theta: -0.798592
Epoch 10267, Average Loss: 0.0000003006, body: 0, theta: -0.798582
Epoch 10268, Average Loss: 0.0000003006, body: 0, theta: -0.798628
Epoch 10269, Average Loss: 0.0000003005, body: 0, theta: -0.798713
Epoch 10270, Average Loss: 0.0000003005, body: 0, theta: -0.798779
Epoch 10271, Average Loss: 0.0000003005, body: 0, theta: -0.798784
Epoch 10272, Average Loss: 0.0000003005, body: 0, theta: -0.798742
Epoch 10273, Average Loss: 0.0000003005, body: 0, theta: -0.798707
Epoch 10274, Average Loss: 0.0000003005, body: 0, theta: -0.798718
Epoch 10275, Average Loss: 0.0000003005, body: 0, theta: -0.798763
Epoch 10276, Average Loss: 0.0000003005, body: 0, theta: -0.798791
Epoch 10277, Average Loss: 0.0000003005, body: 0, theta: -0.798770
Epoch 10278, Average Loss: 0.0000003005, body: 0, theta: -0.798715
Epoch 10279, Average Loss: 0.0000003005, body: 0, theta: -0.798668
Epoch 10280, Average Loss: 0.0000003005, body: 0, theta: -0.798658
Epoch 10281, Average Loss: 0.0000003005, body: 0, theta: -0.798676
Epoch 10282, Average Loss: 0.0000003005, body: 0, theta: -0.798690
Epoch 10283, Average Loss: 0.0000003005, body: 0, theta: -0.798675
Epoch 10284, Average Loss: 0.0000003005, body: 0, theta: -0.798639
Epoch 10285, Average Loss: 0.0000003005, body: 0, theta: -0.798607
Epoch 10286, Average Loss: 0.0000003005, body: 0, theta: -0.798599
Epoch 10287, Average Loss: 0.0000003005, body: 0, theta: -0.798607
Epoch 10288, Average Loss: 0.0000003005, body: 0, theta: -0.798608
Epoch 10289, Average Loss: 0.0000003005, body: 0, theta: -0.798589
Epoch 10290, Average Loss: 0.0000003005, body: 0, theta: -0.798558
Epoch 10291, Average Loss: 0.0000003005, body: 0, theta: -0.798535
Epoch 10292, Average Loss: 0.0000003005, body: 0, theta: -0.798530
Epoch 10293, Average Loss: 0.0000003005, body: 0, theta: -0.798534
Epoch 10294, Average Loss: 0.0000003005, body: 0, theta: -0.798530
Epoch 10295, Average Loss: 0.0000003005, body: 0, theta: -0.798511
Epoch 10296, Average Loss: 0.0000003005, body: 0, theta: -0.798487
Epoch 10297, Average Loss: 0.0000003005, body: 0, theta: -0.798472
Epoch 10298, Average Loss: 0.0000003005, body: 0, theta: -0.798474
Epoch 10299, Average Loss: 0.0000003005, body: 0, theta: -0.798483
Epoch 10300, Average Loss: 0.0000003005, body: 0, theta: -0.798486
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Epoch 10301, Average Loss: 0.0000003005, body: 0, theta: -0.797284
Epoch 10302, Average Loss: 0.0000003034, body: 0, theta: -0.798193
Epoch 10303, Average Loss: 0.0000003042, body: 0, theta: -0.800962
Epoch 10304, Average Loss: 0.0000003040, body: 0, theta: -0.803674
Epoch 10305, Average Loss: 0.0000003043, body: 0, theta: -0.804611
Epoch 10306, Average Loss: 0.0000003046, body: 0, theta: -0.803817
Epoch 10307, Average Loss: 0.0000003046, body: 0, theta: -0.802802
Epoch 10308, Average Loss: 0.0000003047, body: 0, theta: -0.802988
Epoch 10309, Average Loss: 0.0000003040, body: 0, theta: -0.804392
Epoch 10310, Average Loss: 0.0000003034, body: 0, theta: -0.805812
Epoch 10311, Average Loss: 0.0000003028, body: 0, theta: -0.806123
Epoch 10312, Average Loss: 0.0000003021, body: 0, theta: -0.805332
Epoch 10313, Average Loss: 0.0000003015, body: 0, theta: -0.804395
Epoch 10314, Average Loss: 0.0000003011, body: 0, theta: -0.804188
Epoch 10315, Average Loss: 0.0000003007, body: 0, theta: -0.804690
Epoch 10316, Average Loss: 0.0000003002, body: 0, theta: -0.805097
Epoch 10317, Average Loss: 0.0000002999, body: 0, theta: -0.804662
Epoch 10318, Average Loss: 0.0000003000, body: 0, theta: -0.803480
Epoch 10319, Average Loss: 0.0000003001, body: 0, theta: -0.802379
Epoch 10320, Average Loss: 0.0000003000, body: 0, theta: -0.802068
Epoch 10321, Average Loss: 0.0000002999, body: 0, theta: -0.802422
Epoch 10322, Average Loss: 0.0000002998, body: 0, theta: -0.802661
Epoch 10323, Average Loss: 0.0000002999, body: 0, theta: -0.802182
Epoch 10324, Average Loss: 0.0000003000, body: 0, theta: -0.801123
Epoch 10325, Average Loss: 0.0000003002, body: 0, theta: -0.800155
