CPU_MEM_TOTAL: 394153260
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 1
REQUESTED_CPUS: 1
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c696
NODE_NAME: c696
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0   5964 372384896   5060 5081596    0    0     1     2    0    0 35  1 63  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0   5964 374795456   5060 5361404    0    0     0    18 10500  483 21  0 79  0  0
11  0   5964 374790048   5060 5364756    0    0     0     0 9656  474 19  0 81  0  0
10  0   5964 374790048   5060 5364756    0    0     0     0 9656  474 19  0 81  0  0
11  0   5964 374786464   5060 5368112    0    0     0     0 10714  759 21  0 79  0  0
10  0   5964 374786464   5060 5368112    0    0     0     0 10714  759 21  0 79  0  0
11  0   5964 374782944   5060 5371468    0    0     0     6 10532  470 21  0 79  0  0
10  0   5964 374782944   5060 5371468    0    0     0     6 10532  470 21  0 79  0  0
11  0   5964 374779712   5060 5374828    0    0     0     0 10583  488 21  0 79  0  0
10  0   5964 374779712   5060 5374828    0    0     0     0 10583  488 21  0 79  0  0
11  0   5964 374778624   5060 5376020    0    0     0     0 10647  500 21  0 79  0  0
10  0   5964 374778624   5060 5376020    0    0     0     0 10647  500 21  0 79  0  0
11  0   5964 374776544   5060 5378184    0    0     0     5 10633  466 21  0 79  0  0
10  0   5964 374776544   5060 5378184    0    0     0     5 10633  466 21  0 79  0  0
11  0   5964 374773248   5060 5381536    0    0     0   966 10551  443 21  0 79  0  0
10  0   5964 374773248   5060 5381536    0    0     0   966 10551  443 21  0 79  0  0
11  0   5964 374767232   5060 5384900    0    0     0 11623 10817 1009 21  0 79  0  0
10  0   5964 374767232   5060 5384900    0    0     0 11623 10817 1009 21  0 79  0  0
11  0   5964 374764000   5060 5388260    0    0     0     2 10634  465 21  0 79  0  0
10  0   5964 374764000   5060 5388260    0    0     0     2 10634  465 21  0 79  0  0
11  0   5964 374756608   5060 5391612    0    0     0     0 9750  461 19  0 81  0  0
10  0   5964 374756608   5060 5391612    0    0     0     0 9750  461 19  0 81  0  0
11  0   5964 374756896   5060 5391612    0    0     0     0 10604  438 21  0 79  0  0
10  0   5964 374756896   5060 5391612    0    0     0     0 10604  438 21  0 79  0  0
11  0   5964 374751392   5060 5394964    0    0     0    11 10605  470 21  0 79  0  0
10  0   5964 374751392   5060 5394964    0    0     0    11 10605  470 21  0 79  0  0
11  0   5964 374745984   5060 5398320    0    0     0     0 10573  437 21  0 79  0  0
10  0   5964 374745984   5060 5398320    0    0     0     0 10573  437 21  0 79  0  0
11  0   5964 374732832   5060 5401688    0    0     0     0 10567  735 21  0 79  0  0
10  0   5964 374732832   5060 5401688    0    0     0     0 10567  735 21  0 79  0  0
11  0   5964 374729216   5060 5405040    0    0     0     3 10431  442 21  0 79  0  0
10  0   5964 374729216   5060 5405040    0    0     0     3 10432  442 21  0 79  0  0
11  0   5964 374725696   5060 5408392    0    0     0   966 10575  459 21  0 79  0  0
10  0   5964 374725696   5060 5408392    0    0     0   966 10575  459 21  0 79  0  0
12  0   5964 375284128   5060 5505312    0    0     0 11701 8557 1545 16  0 84  0  0
11  0   5964 375284128   5060 5505312    0    0     0 11701 8557 1545 16  0 84  0  0
12  0   5964 375118336   5060 5506904    0    0     0    12 10659  484 21  0 79  0  0
10  0   5964 375118336   5060 5506904    0    0     0    12 10659  484 21  0 79  0  0
11  0   5964 375109696   5060 5509252    0    0     0     0 10663  467 21  0 79  0  0
10  0   5964 375109696   5060 5509252    0    0     0     0 10663  466 21  0 79  0  0
11  0   5964 375079072   5060 5512604    0    0     0     0 11164 2986 21  0 79  0  0
10  0   5964 375079072   5060 5512604    0    0     0     0 11164 2986 21  0 79  0  0
12  0   5964 375075680   5060 5515956    0    0     0     8 10661  488 21  0 79  0  0
11  0   5964 375075680   5060 5515956    0    0     0     8 10661  488 21  0 79  0  0
